,YEAR,TEAM,SEED,ROUND,WAB,BADJ EM,BARTHAG,TALENT,BADJ O,BADJ D,ELITE SOS,WIN%,PPPO,K OFF,AVG HGT
148,2022,Connecticut,5,64,3.2,17.8,0.879,54.692,112.6,94.8,27.203,71.875,1.099,109.555,78.16
149,2022,Creighton,9,32,1.9,11.9,0.801,67.849,104.2,92.3,27.539,66.66667,1.006,100.292,78.241
150,2022,Davidson,10,64,2.1,14.2,0.818,36.235,115.7,101.5,16.861,81.25,1.132,113.241,78.038
151,2022,Delaware,15,64,-5.5,3.6,0.597,13.46,106.8,103.2,12.584,63.63636,1.072,107.166,77.165
152,2022,Duke,2,4,7.2,26.0,0.943,91.521,120.4,94.4,28.364,82.35294,1.169,117.152,78.372
153,2022,Georgia St.,16,64,-5.2,1.4,0.54,28.01,100.8,99.4,12.187,60.0,0.993,99.6748,75.872
154,2022,Gonzaga,1,16,6.7,32.4,0.973,86.976,120.9,88.5,24.951,89.65517,1.19,118.885,78.737
155,2022,Houston,5,8,6.2,28.2,0.96,51.79,117.1,88.9,22.655,85.29412,1.147,114.576,77.41
156,2022,Illinois,4,32,4.2,20.5,0.908,54.781,113.6,93.1,30.786,70.96774,1.102,110.345,77.299
157,2022,Indiana,12,64,0.3,17.5,0.884,72.37,108.0,90.5,29.313,60.60606,1.04,103.985,78.018
158,2022,Iowa,5,64,4.6,23.4,0.922,43.723,121.1,97.7,28.129,74.28571,1.183,118.165,77.502
159,2022,Iowa St.,11,16,2.8,14.4,0.849,47.374,103.1,88.7,36.278,62.5,0.981,98.0934,76.518
160,2022,Jacksonville St.,15,64,-5.2,2.3,0.564,6.265,104.0,101.7,10.698,65.51724,1.059,106.638,76.546
161,2022,Kansas,1,1,10.4,27.3,0.951,77.998,120.2,92.9,36.398,82.35294,1.119,111.605,77.142
162,2022,Kentucky,2,64,6.9,25.2,0.939,74.515,119.1,93.9,32.472,78.78788,1.142,114.407,76.828
163,2022,Longwood,14,64,-2.3,3.0,0.582,4.353,105.6,102.6,8.664,78.57143,1.091,108.965,75.561
164,2022,Loyola Chicago,10,64,1.8,15.2,0.849,5.155,109.1,93.9,19.04,77.41935,1.1,109.986,76.759
165,2022,LSU,6,64,2.3,17.7,0.891,72.652,105.8,88.1,30.073,66.66667,1.029,102.61,77.616
166,2022,Marquette,9,64,0.7,12.6,0.807,58.313,107.9,95.3,29.119,61.29032,1.033,103.451,77.866
167,2022,Memphis,9,32,1.4,17.2,0.875,80.073,110.4,93.2,26.062,67.74194,1.056,105.619,77.792
168,2022,Miami FL,10,8,2.6,13.7,0.813,65.462,114.3,100.6,27.253,69.69697,1.104,110.368,76.713
169,2022,Michigan,11,16,0.2,17.2,0.868,72.575,113.9,96.7,34.033,54.83871,1.082,108.005,78.228
170,2022,Michigan St.,7,32,2.9,15.4,0.848,75.799,110.9,95.5,32.331,64.70588,1.059,105.927,78.586
171,2022,Montana St.,14,64,-2.8,2.2,0.562,7.356,103.0,100.8,7.984,78.125,1.084,108.242,76.746
172,2022,Murray St.,7,32,3.5,14.6,0.838,18.119,109.6,95.0,12.852,93.10345,1.131,113.009,76.615
173,2022,New Mexico St.,12,32,0.7,8.6,0.726,16.577,106.1,97.5,14.913,79.31034,1.05,104.869,78.058
174,2022,Norfolk St.,16,64,-3.1,-2.2,0.438,7.809,99.9,102.1,6.905,77.77778,1.032,103.718,76.636
175,2022,North Carolina,8,2,4.3,16.9,0.866,87.453,112.8,95.9,29.665,72.72727,1.096,109.416,78.254
176,2022,Notre Dame,11,32,1.8,14.8,0.836,72.248,111.9,97.1,27.584,67.74194,1.083,108.378,78.08
177,2022,Ohio St.,7,32,1.4,16.8,0.857,66.738,116.3,99.5,29.666,63.33333,1.119,112.068,77.248
178,2022,Providence,4,16,6.0,14.7,0.835,42.028,111.6,96.9,25.783,83.33333,1.066,106.471,77.714
179,2022,Purdue,3,16,7.1,25.1,0.933,60.487,122.6,97.5,30.201,79.41176,1.185,118.576,78.453
