,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,winner,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff
54,2023,Iowa St.,6,64,64,Pittsburgh,11,32,18.2,90.0,108.2,2.4,0.893,35.584,37.116,59.375,1.031,103.094,77.276,11.0,108.2,90.0,-0.2,0.766,25.648,23.352,66.66666667,1.117,111.897,77.393,0,7.199999999999999,-18.200000000000003,18.200000000000003,2.6,0.127,9.936000000000003,13.764,-7.291666669999998,-0.08600000000000008,-8.803000000000011,-0.11700000000000443
55,2023,Xavier,3,16,64,Kennesaw St.,14,64,20.2,98.4,118.6,5.2,0.895,53.584,31.866,73.52941176,1.129,112.788,78.386,4.5,118.6,98.4,-1.4,0.623,21.424,14.413,74.19354839,1.054,105.334,75.889,1,15.7,-20.19999999999999,20.19999999999999,6.6,0.272,32.160000000000004,17.453,-0.6641366300000016,0.07499999999999996,7.4539999999999935,2.497
56,2023,Texas A&M,7,64,64,Penn St.,10,32,18.4,94.8,113.2,3.7,0.885,48.574,27.473,73.52941176,1.087,108.864,76.682,15.5,113.2,94.8,1.3,0.84,28.67,29.963,62.85714286,1.101,109.964,76.673,0,2.8999999999999986,-18.400000000000006,18.400000000000006,2.4000000000000004,0.04500000000000004,19.903999999999996,-2.490000000000002,10.672268899999999,-0.014000000000000012,-1.0999999999999943,0.009000000000000341
57,2023,Texas,2,8,64,Colgate,15,64,23.0,91.6,114.6,7.6,0.929,67.877,34.531,76.47058824,1.095,109.362,76.509,5.9,114.6,91.6,-3.6,0.651,0.2,8.434,75.75757576,1.15,114.974,77.42,1,17.1,-23.0,23.0,11.2,0.278,67.67699999999999,26.097,0.7130124800000033,-0.05499999999999994,-5.612000000000009,-0.9110000000000014
58,2023,Kansas,1,32,64,Howard,16,64,21.4,91.5,112.9,10.1,0.918,69.643,38.229,79.41176471,1.062,106.078,77.453,-4.8,112.9,91.5,-7.3,0.37,10.987,9.971,61.29032258,1.033,103.037,76.881,1,26.2,-21.400000000000006,21.400000000000006,17.4,0.548,58.656,28.258,18.12144213,0.029000000000000137,3.040999999999997,0.5720000000000027
59,2023,Arkansas,8,16,64,Illinois,9,64,18.7,92.0,110.7,0.4,0.894,70.997,30.654,60.60606061,1.058,105.743,78.723,14.6,110.7,92.0,0.9,0.839,80.461,30.112,62.5,1.065,106.287,78.733,1,4.1,-18.700000000000003,18.700000000000003,-0.5,0.05500000000000005,-9.463999999999999,0.5420000000000016,-1.89393939,-0.006999999999999895,-0.5440000000000111,-0.010000000000005116
60,2023,Saint Mary's,5,32,64,VCU,12,64,22.6,89.1,111.7,3.6,0.931,32.764,22.971,78.125,1.103,110.407,78.124,11.1,111.7,89.1,1.0,0.785,48.265,15.572,79.41176471,1.044,104.381,77.577,1,11.500000000000002,-22.60000000000001,22.60000000000001,2.6,0.14600000000000002,-15.500999999999998,7.399000000000001,-1.28676471,0.05899999999999994,6.025999999999996,0.546999999999997
61,2023,Connecticut,4,1,64,Iona,13,64,26.4,92.5,118.9,4.9,0.947,62.486,29.244,75.75757576,1.144,114.228,78.308,11.8,118.9,92.5,-1.6,0.789,4.177,9.85,79.41176471,1.105,110.689,77.502,1,14.599999999999998,-26.400000000000006,26.400000000000006,6.5,0.15799999999999992,58.309,19.394,-3.6541889500000053,0.038999999999999924,3.5390000000000015,0.8060000000000116
62,2023,TCU,6,32,64,Arizona St.,11,64,17.0,93.4,110.4,2.3,0.873,60.589,32.804,63.63636364,1.057,105.499,77.543,12.0,110.4,93.4,1.3,0.8,48.279,28.637,64.70588235,1.006,100.983,77.112,1,5.0,-17.0,17.0,0.9999999999999998,0.07299999999999995,12.309999999999995,4.167000000000002,-1.069518709999997,0.050999999999999934,4.515999999999991,0.4310000000000116
63,2023,Gonzaga,3,8,64,Grand Canyon,14,64,24.0,98.6,122.6,6.8,0.925,76.992,26.846,84.375,1.205,120.383,78.071,5.3,122.6,98.6,-3.7,0.639,20.262,14.646,65.625,1.088,108.542,77.147,1,18.7,-24.0,24.0,10.5,0.28600000000000003,56.730000000000004,12.2,18.75,0.11699999999999999,11.840999999999994,0.9239999999999924
64,2023,Northwestern,7,32,64,Boise St.,10,64,14.9,91.7,106.6,1.6,0.85,46.694,28.65,65.625,1.028,102.638,77.674,15.3,106.6,91.7,2.3,0.852,17.176,24.425,71.875,1.058,105.781,77.646,1,-0.40000000000000036,-14.899999999999991,14.899999999999991,-0.6999999999999997,-0.0020000000000000018,29.518000000000004,4.224999999999998,-6.25,-0.030000000000000027,-3.1430000000000007,0.028000000000005798
65,2023,UCLA,2,16,64,UNC Asheville,15,64,25.8,87.4,113.2,8.5,0.951,83.585,28.811,85.29411765,1.098,109.714,76.923,-1.2,113.2,87.4,-1.8,0.466,10.661,10.618,78.125,1.047,104.637,77.243,1,27.0,-25.799999999999997,25.799999999999997,10.3,0.48499999999999993,72.92399999999999,18.192999999999998,7.169117650000004,0.051000000000000156,5.076999999999998,-0.3199999999999932
66,2023,Alabama,1,16,32,Maryland,8,32,27.1,88.3,115.4,10.2,0.956,66.119,33.7,85.29411765,1.106,110.862,78.117,16.5,115.4,88.3,1.0,0.863,44.421,29.227,63.63636364,1.086,109.025,77.885,1,10.600000000000001,-27.10000000000001,27.10000000000001,9.2,0.09299999999999997,21.698,4.4730000000000025,21.657754010000005,0.020000000000000018,1.836999999999989,0.23199999999999932
