,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
26,2023,Saint Mary's,5,32,64,VCU,12,64,22.6,11.1,0.931,0.785,22.971,15.572,110.407,104.381,1.103,1.044,32.764,48.265,3.6,1.0,78.125,79.41176471,1,11.500000000000002,2.6,0.14600000000000002,-15.500999999999998,7.399000000000001,-1.28676471,0.05899999999999994,6.025999999999996
27,2023,Connecticut,4,1,64,Iona,13,64,26.4,11.8,0.947,0.789,29.244,9.85,114.228,110.689,1.144,1.105,62.486,4.177,4.9,-1.6,75.75757576,79.41176471,1,14.599999999999998,6.5,0.15799999999999992,58.309,19.394,-3.6541889500000053,0.038999999999999924,3.5390000000000015
28,2023,TCU,6,32,64,Arizona St.,11,64,17.0,12.0,0.873,0.8,32.804,28.637,105.499,100.983,1.057,1.006,60.589,48.279,2.3,1.3,63.63636364,64.70588235,1,5.0,0.9999999999999998,0.07299999999999995,12.309999999999995,4.167000000000002,-1.069518709999997,0.050999999999999934,4.515999999999991
29,2023,Gonzaga,3,8,64,Grand Canyon,14,64,24.0,5.3,0.925,0.639,26.846,14.646,120.383,108.542,1.205,1.088,76.992,20.262,6.8,-3.7,84.375,65.625,1,18.7,10.5,0.28600000000000003,56.730000000000004,12.2,18.75,0.11699999999999999,11.840999999999994
30,2023,Northwestern,7,32,64,Boise St.,10,64,14.9,15.3,0.85,0.852,28.65,24.425,102.638,105.781,1.028,1.058,46.694,17.176,1.6,2.3,65.625,71.875,1,-0.40000000000000036,-0.6999999999999997,-0.0020000000000000018,29.518000000000004,4.224999999999998,-6.25,-0.030000000000000027,-3.1430000000000007
31,2023,UCLA,2,16,64,UNC Asheville,15,64,25.8,-1.2,0.951,0.466,28.811,10.618,109.714,104.637,1.098,1.047,83.585,10.661,8.5,-1.8,85.29411765,78.125,1,27.0,10.3,0.48499999999999993,72.92399999999999,18.192999999999998,7.169117650000004,0.051000000000000156,5.076999999999998
32,2023,Alabama,1,16,32,Maryland,8,32,27.1,16.5,0.956,0.863,33.7,29.227,110.862,109.025,1.106,1.086,66.119,44.421,10.2,1.0,85.29411765,63.63636364,1,10.600000000000001,9.2,0.09299999999999997,21.698,4.4730000000000025,21.657754010000005,0.020000000000000018,1.836999999999989
33,2023,San Diego St.,5,2,32,Furman,13,32,21.2,7.8,0.919,0.697,25.602,10.319,106.67,115.465,1.064,1.155,37.236,4.159,5.8,-2.0,81.25,77.41935484,1,13.399999999999999,7.8,0.2220000000000001,33.077,15.283,3.830645160000003,-0.09099999999999997,-8.795000000000002
34,2023,Creighton,6,8,32,Baylor,3,32,21.0,21.4,0.913,0.904,32.269,36.633,109.592,113.141,1.095,1.132,67.359,57.276,1.9,5.3,63.63636364,68.75,1,-0.3999999999999986,-3.4,0.009000000000000008,10.082999999999991,-4.364000000000004,-5.113636360000001,-0.03699999999999992,-3.5490000000000066
35,2023,Missouri,7,32,32,Princeton,15,16,13.7,6.0,0.806,0.659,28.374,11.173,112.445,108.055,1.123,1.081,21.934,0.2,3.5,-3.2,72.72727273,70.37037037,0,7.699999999999999,6.7,0.14700000000000002,21.734,17.201,2.3569023599999923,0.04200000000000004,4.389999999999986
